48,50,53,54,45,40,51,52,55,3,2,22,23,39,41,5,4,425,15,21,1
-633.7031151,-1267.40623,-262.7408349,-567.1498199,-1348.5,-449.5,-181.0,-181.0,-123.4096409,-201.5690777,-699.3212814,8.0,53.0,53.0,53.0,-1238.90411,-357.0958904,-168,-735.0,-735.0,-735.0
-682.4316592,-1364.863318,-282.9442679,-610.7607544,-1349.25,-449.75,-58.0,-58.0,-154.4939788,-252.3401624,-875.4658587,7.0,46.0,46.0,46.0,-1155.844749,-333.1552511,-151,-692.3333333,-692.3333333,-692.3333333
-708.6522568,-1417.304514,-293.8156389,-634.2275906,-1413.0,-471.0,-68.0,-68.0,-154.3855451,-252.163054,-874.8514009,1.0,5.0,5.0,5.0,-1190.0,-343.0,-151,-639.3333333,-639.3333333,-639.3333333
-738.121424,-1476.242848,-306.0339055,-660.6018224,-1533.0,-511.0,-86.0,-86.0,-167.8433767,-274.1441787,-951.1124447,3.0,20.0,20.0,20.0,-1156.621005,-333.3789954,-151,-577.6666667,-577.6666667,-577.6666667
-756.9167196,-1513.833439,-313.8266582,-677.4231829,-1598.25,-532.75,-222.5,-222.5,-154.2048222,-251.8678733,-873.8273045,5.0,37.0,37.0,37.0,-1258.310502,-362.6894977,-126,-577.3333333,-577.3333333,-577.3333333
-764.1099809,-1528.219962,-316.8090697,-683.8609875,-1631.25,-543.75,-210.0,-210.0,-99.54217057,-162.5855433,-564.0722861,12.0,84.0,84.0,84.0,-1317.305936,-379.6940639,-126,-539.6666667,-539.6666667,-539.6666667
-692.6414495,-1385.282899,-287.1773681,-619.8982835,-1592.25,-530.75,-154.0,-154.0,-163.9036176,-267.7092389,-928.7871436,5.0,33.0,33.0,33.0,-1235.022831,-355.9771689,-126,-583.0,-583.0,-583.0
-676.1665607,-1352.333121,-280.3466836,-605.1536342,-1495.5,-498.5,-93.5,-93.5,-172.048196,-281.0120502,-974.9397538,-0.13751169,-0.95416278,-0.95416278,-0.95416278,-1176.027397,-338.9726027,-126,-578.0,-578.0,-578.0
-673.1500318,-1346.300064,-279.0959949,-602.4539097,-1569.0,-523.0,-180.0,-180.0,-169.3975936,-276.6827329,-959.9196735,14.0,99.0,99.0,99.0,-1221.050228,-351.9497717,-126,-637.6666667,-637.6666667,-637.6666667
-624.1894469,-1248.378894,-258.7963552,-558.6353041,-1682.25,-560.75,-146.0,-146.0,-168.1566297,-274.6558253,-952.887545,19.0,133.0,133.0,133.0,-1176.027397,-338.9726027,-102,-636.3333333,-636.3333333,-636.3333333
-640.8963764,-1281.792753,-265.7232465,-573.5876245,-1585.5,-528.5,-241.5,-241.5,-147.0000028,-240.1000017,-832.9999955,19.0,133.0,133.0,133.0,-1218.721461,-351.2785388,-102,-701.0,-701.0,-701.0
-617.6923077,-1235.384615,-256.1025641,-552.8205128,-1596.75,-532.25,-241.0,-241.0,-134.7228941,-220.0473911,-763.4297147,9.0,63.0,63.0,63.0,-1184.56621,-341.43379,-77,-756.3333333,-756.3333333,-756.3333333
-602.6096631,-1205.219326,-249.8491206,-539.3218902,-1536.75,-512.25,-294.5,-294.5,-137.3734966,-224.3767084,-778.449795,8.0,55.0,55.0,55.0,-1236.575342,-356.4246575,-77,-784.3333333,-784.3333333,-784.3333333
-636.9516847,-1273.903369,-264.0877305,-570.0572155,-1562.25,-520.75,-340.0,-340.0,-154.4698825,-252.300805,-875.3293125,17.0,116.0,116.0,116.0,-1176.027397,-338.9726027,-77,-768.3333333,-768.3333333,-768.3333333
-667.3490146,-1334.698029,-276.6908243,-597.2621318,-1523.25,-507.75,-396.0,-396.0,-147.8433763,-241.4775118,-837.7791119,28.0,197.0,197.0,197.0,-1157.39726,-333.6027397,-77,-770.6666667,-770.6666667,-770.6666667
-723.9669421,-1447.933884,-300.1652893,-647.9338843,-1678.5,-559.5,-460.5,-460.5,-156.4216897,-255.4887568,-886.3895534,33.0,231.0,231.0,231.0,-1210.958904,-349.0410959,-77,-686.0,-686.0,-686.0
-574.9968214,-1149.993643,-238.4005086,-514.6090273,-1644.0,-548.0,-440.0,-440.0,-141.2891593,-230.7722908,-800.6385499,35.0,246.0,246.0,246.0,-1302.557078,-375.4429224,-77,-752.3333333,-752.3333333,-752.3333333
-508.1691036,-1016.338207,-210.6929434,-454.7997457,-1589.25,-529.75,-325.0,-325.0,-134.4457857,-219.5947807,-761.8594336,47.0,323.0,323.0,323.0,-1194.657534,-344.3424658,-77,-736.6666667,-736.6666667,-736.6666667
-430.4354736,-860.8709472,-178.4636576,-385.2299216,-1464.75,-488.25,-228.5,-228.5,-126.4578337,-206.5477926,-716.5943736,44.0,308.0,308.0,308.0,-1180.684932,-340.3150685,-77,-623.6666667,-623.6666667,-623.6666667
-581.0298792,-1162.059758,-240.901886,-520.0084764,-1671.75,-557.25,-245.0,-245.0,-102.8313273,-167.9578325,-582.7108402,41.0,285.0,285.0,285.0,-1175.251142,-338.7488584,-77,-556.6666667,-556.6666667,-556.6666667
-702.3871583,-1404.774317,-291.2180547,-628.6204704,-1965.75,-655.25,-532.5,-532.5,-98.63855609,-161.1096397,-558.9518042,48.0,332.0,332.0,332.0,-1214.840183,-350.1598174,-77,-462.3333333,-462.3333333,-462.3333333
-793.3471074,-1586.694215,-328.9311295,-710.0275482,-1999.5,-666.5,-508.0,-508.0,-86.95180888,-142.0212862,-492.726905,63.0,438.0,438.0,438.0,-1207.853881,-348.1461187,-77,-348.3333333,-348.3333333,-348.3333333
