Node,Biomass,Geothermal,RoR,WindOnshore,WindOffshore,PV
138,48.35730797,0,0.052064798,530.7714398,0,230.9663822
139,5.034333101,0,0.045618801,0.457571244,0,10.89287819
140,7.173651419,0,32.31526668,92.6764015,0,37.33454266
141,10.82665174,0,1.166172321,85.19222908,0,51.97514088
142,0,0,0,0,0,0
143,8.336674518,0,6.600082158,501.7083924,0,173.9364149
144,4.21155726,0,15.63075356,132.2040714,0,75.77064402
145,9.392370073,0,0.206597075,61.47875259,0,139.3299076
146,0,0,0,0,0,0
147,39.20519238,0,0,159.3116818,0,237.9250635
148,0,0,0,0,0,0
149,37.88254685,0,0.057679386,106.1676147,0,207.6438769
150,0,0,0,0,0,0
151,9.103572242,0,0.011535877,25.01949408,0,60.3015271
152,0,0,0,0,0,0
153,0,0,0,0,0,0
154,4.069678558,0,0.023071755,34.19685744,0,42.87719268
155,0,0,0,0,0,0
156,1.272241256,0,8.179985704,0,0,6.325686344
157,4.998424008,0,0.943844504,0,0,6.305424098
158,0,0,0,0,0,0
159,8.011479601,0,0,16.32655071,0,29.95778902
160,0.34536263,0,0.012584593,0.29810461,0,10.79820171
161,0,0,0,0,0,0
162,18.61317893,0,0.007865371,134.0634989,0,146.9406657
163,0,0,0,0,0,0
164,0,0,0,0,0,0
165,0,0,0,0,0,0
166,7.784679029,0,0,246.9530532,0,110.0777468
167,1.344114019,0,0,155.2236029,0,34.61339989
168,2.862309472,0,0,14.05392892,0,28.1105003
169,0,0,0,0,0,0
170,8.047882689,0,17.90918769,95.872572,0,48.29287413
171,0,0,0,0,0,0
172,0.326227673,0,0,0.292781314,0,7.394249361
173,2.305528908,0,0,0,0,17.35019707
174,6.229968478,0,10.6428955,27.37249765,0,60.21272615
175,2.053507529,0,2.526357123,0,0,9.483487588
176,0,0,0,0,0,0
177,1.25543983,0,8.357218728,0.521683068,0,17.74101999
178,19.54425791,0,1.631802276,7.772013055,0,13.60650284
179,1.026753765,0,23.83543328,10.11426356,0,22.47063164
180,5.005572725,0,2.959155738,53.74640945,0,76.77416664
181,20.85099127,0,2.134689868,185.8267446,0,216.3188801
182,2.843132103,0,4.304658258,49.47900103,0,51.817355
183,3.77543287,0,4.15428569,74.00279821,0,103.2365614
184,1.347847669,0,0.029888409,46.01989922,0,26.27813777
185,3.591771351,0,0.171989443,0,0,45.38153911
186,7.716521247,0,0,34.86759282,0,76.6306288
187,1.957832747,0,0,13.41470747,0,34.89425626
188,0,0,20,0,0,0
189,9.276840569,0,23.77930361,424.8439658,0,160.2154191
190,25.03699485,0,4.677584474,57.04164509,0,144.9786869
191,1.461494418,0,1.237292435,26.11251537,0,38.935501
192,0,0,0,0,0,0
193,1.394587426,0,4.174907921,7.387108802,0,28.65273961
194,4.726655239,0,0.015264746,18.13864339,0,27.25586371
195,2.083580023,0,0,0.001097095,0,11.16659879
196,2.965158503,0,0.110245385,4.388381466,0,47.1858644
197,1.827490606,0,0.094980639,12.28746811,0,22.67930381
198,0,0,0,0,0,0
199,10.19316401,0,0.039069268,8.016110145,0,81.07047056
200,46.94861967,0,4.261408146,187.1498416,0,137.7605832
201,7.636177583,0,4.09191603,756.1375802,0,262.680946
202,50.13059917,0,0.476641475,400.8327366,0,348.394337
203,13.60542079,0,0.612450212,99.21400529,0,81.88519965
204,0,0,0,0,0,0
205,0,0,0,0,0,0
206,23.46356898,0,0.074706016,83.75183272,0,118.8346914
207,38.82650692,0,0.199256062,120.2553998,0,151.6244273
208,19.07305833,0,3.138516499,218.5907663,0,147.183106
209,29.97000898,0,5.990266454,128.7439286,0,70.95123354
210,11.12347692,0,14.66598027,52.23761613,0,85.30710336
211,44.66468483,0,0.084946005,27.8195481,0,166.6966395
212,0,0,0,0,0,0
213,4.844410944,0,0,4.258637291,0,25.09777001
214,16.83110776,0,0.093335734,34.94744227,0,73.2037882
215,0,0,0,0,0,0
216,34.02008587,0,0.341881454,50.81618947,0,66.09269559
217,45.19729583,0,3.063451425,142.7247826,0,73.65291292
218,10.85166773,0,2.717481808,41.02536012,0,46.50394483
219,9.65444651,0,4.977579127,43.89154553,0,90.25870796
220,7.858399949,0,0.556868258,116.6334288,0,71.73920278
221,17.79182207,0,2.880724549,37.06192996,0,89.03904359
222,43.98300502,0,2.869871985,33.69100382,0,119.6657809
223,27.84565024,0,2.6293489,21.2462461,0,22.73265101
224,11.39079087,0,25.8205323,64.18935306,0,128.8044625
225,1.386701366,0,0.29562724,19.97444964,0,42.87536886
226,18.51314808,0,4.409136962,34.4758562,0,121.9168562
227,25.29225416,0,3.136778014,153.7665461,0,218.2310108
228,29.50400007,0,5.766013208,524.8419914,0,304.3736036
229,38.24495987,0.22,0.87847356,675.9593051,0,196.6103399
230,25.22198204,0,18.1731859,109.2826745,0,273.141844
231,8.281806222,0,26.65010929,24.98896396,0,156.4978403
232,26.92683963,0,16.46541397,294.5620079,0,433.6985781
233,10.95448047,0,31.19104595,153.0585142,0,241.2143116
234,0,0,0,0,0,0
235,20.89131338,0,1.846025366,310.2628617,0,158.8202398
236,19.072296,0,85.41705161,373.1262583,0,237.801854
237,4.966399364,0,0.234323397,99.05183373,0,93.16768478
238,6.104122843,0,2.34850381,0.001603055,0,99.04544292
239,0,0,0,0,0,0
240,0,0,0,0,0,0
241,0,0,0,0,0,0
242,1.556789441,0,1.404934453,132.3178259,0,72.57426451
243,17.90506989,0,0.49429413,216.005177,0,241.8519598
244,9.157804437,0,1.106021196,95.76516718,0,95.77579824
245,1.566657765,0,1.031655811,28.08685871,0,52.96804565
246,13.80535301,0,7.18664455,97.62636463,0,123.9045905
247,4.943314357,0,13.65579901,29.58500505,0,61.2611462
248,0.936365843,0,0,106.319512,0,44.92720899
249,0.579417871,0,0,0,0,35.46701943
250,32.89659776,0,0,0,0,8.246065534
251,4.941545653,0,0.466363426,0,0,66.17683915
